Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
Albania,ALB,1996,900034,411154,1480630,282193,94022
Albania,ALB,2002,818304,372084,1401061,331580,127981
Albania,ALB,2005,1071754,434202,1221763,203957,79811
Albania,ALB,2008,1216764,450136,1107202,148829,24383
Albania,ALB,2012,1148847,420260,1141735,137509,52050
Albania,ALB,2014,1231772,314109,982132,254884,106207
Albania,ALB,2015,1572623,364053,808086,103825,32116
Albania,ALB,2016,1585706,344970,777182,135438,32805
Albania,ALB,2017,1588399,346490,803169,93894,41505
Albania,ALB,2018,1869002,305796,590327,72300,28951
Albania,ALB,2019,1882770,357923,562935,42789,7774
Albania,ALB,2020,1956564,315725,505311,50574,9675
Algeria,DZA,1988,5385347,2395524,10071758,3300355,2956552
Algeria,DZA,1995,6985447,2922750,11472917,3727602,3361476
Algeria,DZA,2011,15487653,6051384,13760960,1729655,0
Angola,AGO,2000,3765529,1174425,4790189,2184184,4396533
Angola,AGO,2008,4748918,1472034,7367891,3551088,4856783
Angola,AGO,2018,4458374,1836811,8289672,4525471,12370168
Argentina (urban),,1980,20616166,870906,1730900,0,0
Argentina (urban),,1986,23997561,756217,1013706,226845,332967
Argentina (urban),,1987,23281261,993264,2018260,169529,399474
Argentina (urban),,1991,22118199,1883279,3884175,761787,371912
Argentina (urban),,1992,22238116,1981468,3955788,584999,735617
Argentina (urban),,1993,22813002,1946825,3663904,673093,872868
Argentina (urban),,1994,22879675,1936980,3989477,815947,823949
Argentina (urban),,1995,21501604,2010159,4861712,962794,1582863
Argentina (urban),,1996,21296102,1975440,5292880,1119475,1698221
Argentina (urban),,1997,22106911,1837842,5192799,1039910,1659340
Argentina (urban),,1998,21580973,1977372,5571181,1327305,1827357
Argentina (urban),,1999,21435346,2131756,5839130,1390226,1933148
Argentina (urban),,2000,20878831,2033106,6239631,1584903,2436819
Argentina (urban),,2001,19639698,2453868,5786762,2124731,3604821
Argentina (urban),,2002,14997984,2341199,8053028,2841292,5806569
Argentina (urban),,2003,20558067,2509247,6644455,1927968,2821463
Argentina (urban),,2004,22692555,2224503,6267786,1595292,2099848
Argentina (urban),,2005,24542107,2115274,5566203,1521478,1562206
Argentina (urban),,2006,26667562,1949389,4708852,1175296,1238049
Argentina (urban),,2007,27201786,2137814,4794163,1030130,997655
Argentina (urban),,2008,28614436,1870916,4175942,974732,959954
Argentina (urban),,2009,29597810,1820449,3967573,758903,906921
Argentina (urban),,2010,30587925,1830769,3786339,729761,575574
Argentina (urban),,2011,31985231,1684387,3417248,425266,458596
Argentina (urban),,2012,32796824,1658103,2983829,491677,487751
Argentina (urban),,2013,33107917,1714130,3161858,448936,423223
Argentina (urban),,2014,32626781,2087236,3619999,563732,416356
Argentina (urban),,2016,33546231,2041918,3597403,528538,510450
Argentina (urban),,2017,34934549,1710993,2963416,572887,452771
Argentina (urban),,2018,33755926,2136464,3800591,659354,672105
Argentina (urban),,2019,33050788,2157333,4577955,888499,696965
Argentina (urban),,2020,31308859,2708781,5847122,847488,914522
Argentina (urban),,2021,33323980,2536233,4561526,799698,569627
Argentina (urban),,2022,33469049,2637481,4610089,673414,542803
