Entity,Code,Year,"Number of people in poverty ($3 a day, 2021 prices)"
East Asia and Pacific (WB),,1990,1217277131
East Asia and Pacific (WB),,1991,1215450629
East Asia and Pacific (WB),,1992,1200299394
East Asia and Pacific (WB),,1993,1183328619
East Asia and Pacific (WB),,1994,1125949187
East Asia and Pacific (WB),,1995,1071165732
East Asia and Pacific (WB),,1996,1014763875
East Asia and Pacific (WB),,1997,1013926180
East Asia and Pacific (WB),,1998,1034936684
East Asia and Pacific (WB),,1999,997146018
East Asia and Pacific (WB),,2000,958725218
East Asia and Pacific (WB),,2001,915200150
East Asia and Pacific (WB),,2002,839536592
East Asia and Pacific (WB),,2003,766860353
East Asia and Pacific (WB),,2004,700611608
East Asia and Pacific (WB),,2005,618983801
East Asia and Pacific (WB),,2006,598721323
East Asia and Pacific (WB),,2007,545491075
East Asia and Pacific (WB),,2008,512888255
East Asia and Pacific (WB),,2009,471960658
East Asia and Pacific (WB),,2010,417337976
East Asia and Pacific (WB),,2011,346010570
East Asia and Pacific (WB),,2012,302657475
East Asia and Pacific (WB),,2013,206230984
East Asia and Pacific (WB),,2014,179178716
East Asia and Pacific (WB),,2015,141070945
East Asia and Pacific (WB),,2016,117660924
East Asia and Pacific (WB),,2017,97942689
East Asia and Pacific (WB),,2018,77862564
East Asia and Pacific (WB),,2019,61047528
East Asia and Pacific (WB),,2020,64627138
East Asia and Pacific (WB),,2021,62442502
East Asia and Pacific (WB),,2022,57690307
East Asia and Pacific (WB),,2023,52510072
East Asia and Pacific (WB),,2024,47670549
East Asia and Pacific (WB),,2025,44906010
Europe and Central Asia (WB),,1990,33982770
Europe and Central Asia (WB),,1991,38412305
Europe and Central Asia (WB),,1992,46832108
Europe and Central Asia (WB),,1993,52034702
Europe and Central Asia (WB),,1994,64922404
Europe and Central Asia (WB),,1995,62474228
Europe and Central Asia (WB),,1996,64151324
Europe and Central Asia (WB),,1997,58572487
Europe and Central Asia (WB),,1998,60361570
Europe and Central Asia (WB),,1999,75408445
Europe and Central Asia (WB),,2000,65719835
Europe and Central Asia (WB),,2001,59923400
Europe and Central Asia (WB),,2002,53465262
Europe and Central Asia (WB),,2003,51730899
Europe and Central Asia (WB),,2004,44486672
Europe and Central Asia (WB),,2005,43979158
Europe and Central Asia (WB),,2006,38707884
Europe and Central Asia (WB),,2007,35495132
Europe and Central Asia (WB),,2008,32900449
Europe and Central Asia (WB),,2009,33116906
Europe and Central Asia (WB),,2010,33425212
Europe and Central Asia (WB),,2011,32337788
Europe and Central Asia (WB),,2012,32563840
Europe and Central Asia (WB),,2013,9884836
Europe and Central Asia (WB),,2014,10790404
Europe and Central Asia (WB),,2015,10820856
Europe and Central Asia (WB),,2016,8891627
Europe and Central Asia (WB),,2017,8951968
Europe and Central Asia (WB),,2018,7540089
Europe and Central Asia (WB),,2019,6990718
Europe and Central Asia (WB),,2020,7623847
Europe and Central Asia (WB),,2021,6940009
Europe and Central Asia (WB),,2022,6419694
Europe and Central Asia (WB),,2023,5731576
Europe and Central Asia (WB),,2024,4961489
Europe and Central Asia (WB),,2025,4725451
Latin America and Caribbean (WB),,1990,91364000
Latin America and Caribbean (WB),,1991,90120372
Latin America and Caribbean (WB),,1992,92328740
Latin America and Caribbean (WB),,1993,93731106
Latin America and Caribbean (WB),,1994,92130717
Latin America and Caribbean (WB),,1995,89187957
Latin America and Caribbean (WB),,1996,97248609
Latin America and Caribbean (WB),,1997,96593877
Latin America and Caribbean (WB),,1998,96845238
Latin America and Caribbean (WB),,1999,99779863
Latin America and Caribbean (WB),,2000,94168919
Latin America and Caribbean (WB),,2001,94408293
Latin America and Caribbean (WB),,2002,91446047
Latin America and Caribbean (WB),,2003,89774324
Latin America and Caribbean (WB),,2004,83799257
Latin America and Caribbean (WB),,2005,79018035
Latin America and Caribbean (WB),,2006,67451661
Latin America and Caribbean (WB),,2007,61340248
Latin America and Caribbean (WB),,2008,57065117
Latin America and Caribbean (WB),,2009,55267169
Latin America and Caribbean (WB),,2010,49739488
Latin America and Caribbean (WB),,2011,45876502
Latin America and Caribbean (WB),,2012,44255272
Latin America and Caribbean (WB),,2013,40598876
Latin America and Caribbean (WB),,2014,38798184
Latin America and Caribbean (WB),,2015,36407802
Latin America and Caribbean (WB),,2016,37816193
Latin America and Caribbean (WB),,2017,37720628
Latin America and Caribbean (WB),,2018,37504791
Latin America and Caribbean (WB),,2019,38350557
Latin America and Caribbean (WB),,2020,36417739
Latin America and Caribbean (WB),,2021,40588238
Latin America and Caribbean (WB),,2022,32951413
